Last_Data_Update,Report Date,Country_Region,Province_State,Prov_Abrr,Reporting _City,PHU_Long,PHU_Short,New Cases,Lat,Long_,Link
2020-05-01 8:44:22 PM,2020-01-25,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-26,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-27,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-28,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-29,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-30,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-01-31,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-01,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-02,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-03,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-04,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-05,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
2020-05-01 8:44:22 PM,2020-02-06,Canada,Ontario,ON,Sault Ste. Marie,Algoma Public Health Unit,Algoma,0,46.5323728,-84.3148358,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/current-status-covid-19/
